Date,Murban,Ice Brent,Oman,Dubai,Nymex WTI
25 Jul 2019,64.620,63.58,64.120,62.940,56.250
24 Jul 2019,64.930,64.16,64.200,63.210,57.170
23 Jul 2019,63.850,63.30,62.900,62.060,56.340
22 Jul 2019,64.450,63.91,63.740,62.760,56.780
19 Jul 2019,63.200,62.70,62.240,61.390,55.860
18 Jul 2019,63.750,63.53,62.600,62.100,56.600
17 Jul 2019,64.860,64.88,63.730,63.120,57.930
16 Jul 2019,66.120,66.47,65.010,64.850,59.560
15 Jul 2019,66.560,66.64,65.640,65.190,59.990
12 Jul 2019,67.230,67.15,66.540,65.700,60.680
11 Jul 2019,67.310,67.41,66.770,65.860,60.730
10 Jul 2019,65.370,65.37,64.520,63.980,59.090
09 Jul 2019,64.200,64.06,63.170,62.750,57.490
08 Jul 2019,64.620,64.63,63.600,63.140,57.840
05 Jul 2019,63.280,63.20,62.180,61.530,56.520
04 Jul 2019,63.540,63.33,62.090,61.590,56.880
03 Jul 2019,62.750,62.33,61.010,60.650,56.250
02 Jul 2019,65.400,64.93,63.520,63.330,58.930
01 Jul 2019,66.740,66.60,65.160,64.650,60.120
28 Jun 2019,66.130,66.22,64.630,64.530,59.170
27 Jun 2019,65.950,65.95,64.320,64.570,58.990
26 Jun 2019,65.620,65.73,64.100,64.320,58.740
25 Jun 2019,64.730,64.68,63.380,63.570,57.880
24 Jun 2019,65.460,65.52,64.020,64.450,58.000
21 Jun 2019,65.120,64.96,64.240,64.250,57.310
20 Jun 2019,63.460,63.37,62.640,62.630,55.230
19 Jun 2019,62.060,62.15,61.290,61.350,53.940
18 Jun 2019,60.600,60.86,59.970,59.720,52.000
17 Jun 2019,61.530,61.96,60.700,60.480,52.310
14 Jun 2019,60.760,60.90,59.900,59.640,51.860
13 Jun 2019,61.200,61.40,60.360,60.070,52.270
12 Jun 2019,60.940,60.93,59.960,59.680,51.990
11 Jun 2019,62.320,62.29,61.350,61.100,53.620
10 Jun 2019,62.870,63.35,61.970,61.680,54.130
07 Jun 2019,62.290,62.74,61.260,61.020,53.450
06 Jun 2019,60.520,60.92,59.370,59.120,51.940
05 Jun 2019,,61.43,,,#N/A
04 Jun 2019,61.210,60.89,60.240,59.840,52.950
03 Jun 2019,60.920,60.82,60.400,59.960,52.850
31 May 2019,64.480,65.88,64.170,64.110,56.000
30 May 2019,67.620,69.71,66.920,67.420,59.430
29 May 2019,67.330,69.19,67.080,67.340,58.280
28 May 2019,68.360,70.15,68.480,68.470,59.070
27 May 2019,66.900,68.66,67.340,66.810,58.270
24 May 2019,66.940,68.59,67.380,66.960,58.630
23 May 2019,69.010,70.31,69.410,69.370,60.930
22 May 2019,70.990,71.71,71.320,71.240,62.560
21 May 2019,71.640,71.92,71.760,71.620,63.330
20 May 2019,,72.75,,,#N/A
17 May 2019,72.540,72.75,72.740,72.410,63.070
16 May 2019,72.280,72.31,72.430,71.920,62.470
15 May 2019,70.840,70.94,70.880,70.400,61.280
14 May 2019,70.100,70.18,70.380,69.680,60.850
13 May 2019,71.210,71.59,71.730,70.780,62.260
10 May 2019,70.420,70.67,70.770,69.970,61.960
09 May 2019,69.010,69.76,69.850,69.010,61.510
08 May 2019,69.040,70.04,69.980,69.130,61.730
07 May 2019,70.160,70.98,71.020,70.330,62.110
06 May 2019,69.000,69.76,69.840,69.140,60.820
03 May 2019,69.510,70.20,70.480,70.010,61.490
02 May 2019,70.920,71.55,71.780,71.370,63.030
01 May 2019,,71.51,,,#N/A
30 Apr 2019,72.340,72.25,72.350,71.820,63.740
29 Apr 2019,71.610,71.61,71.200,71.220,62.930
